Symbol,Name,Index,Description,Category,Provider
IWY,iShares Russell Top 200 Growth Index Fund,Russell Top 200 Growth Index,The index measures the performance of the largest capitalization growth sector of the U.S. equity market.,Large Cap Growth Equities,iShares
IWZ,iShares Russell 3000 Growth,Russell 3000 Growth Index,The index measures the performance of the growth sector of the broad U.S. equity market.,All Cap Equities,iShares
IXC,iShares S&P Global Energy Index Fund,S&P Global Energy Sector Index,The index measures the performance of the energy sector of global equity markets.,Energy Equities,iShares
IXG,iShares S&P Global Financial Index Fund,S&P Global Financials Sector Index,"The index includes major banks, diversified financial companies, insurance companies, real estate companies, savings and loan associations, and securities brokers.",Financials Equities,iShares
IXJ,iShares S&P Global Healthcare Index Fund,S&P Global Healthcare Sector Index,"The index includes healthcare providers, biotechnology companies, and manufacturers of advanced medical devices and pharmaceuticals.",Health & Biotech Equities,iShares
IXN,iShares S&P Global Technology Index Fund,S&P Global Information Technology Sector Index,The index measures the performance of the technology sector of the global equity market.,Technology Equities,iShares
IXP,iShares S&P Global Telecommunications Index Fund,S&P Global Telecommunications Sector Index,"The Index measures the performance of the global telecommunications market, including diversified communications carriers and wireless communications companies.",Communications Equities,iShares
IYC,iShares Dow Jones U.S. Consumer Index Fund,Dow Jones U.S. Consumer Services Index,The index measures the performance of the consumer services sector of the U.S. equity market.,Miscellaneous Sector Equities,iShares
IYE,iShares Dow Jones U.S. Energy Sector Fund,Dow Jones U.S. Oil & Gas Index,The index measures the performance of the energy sector of the U.S. equity market.,Energy Equities,iShares
IYF,iShares Dow Jones U.S. Financial Sector Index Fund,Dow Jones U.S. Financials Index,The index measures the performance of the financial sector of the U.S. equity market.,Financials Equities,iShares
IYG,iShares Dow Jones U.S. Financial Services Index Fund,Dow Jones U.S. Financial Services Index,The index measures the performance of the financial services industry segment of the U.S. equity market including real estate and general finance.,Financials Equities,iShares
IYH,iShares Dow Jones U.S. Health Care Index Fund,Dow Jones U.S. Health Care Index,The index measures the performance of the healthcare sector of the U.S. equity market.,Health & Biotech Equities,iShares
IYJ,iShares Dow Jones U.S. Industrial Sector Index Fund,Dow Jones U.S. Industrials Index,The index measures the performance of the industrial sector of the U.S. equity market.,Industrials Equities,iShares
IYK,iShares Dow Jones U.S. Consumer Goods Index Fund,Dow Jones U.S. Consumer Goods Index,The index measures the performance of the consumer goods sector of the U.S. equity market.,Consumer Staples Equities,iShares
IYM,iShares Dow Jones U.S. Basic Materials Index,Dow Jones U.S. Basic Materials Index,The index measures the performance of the basic materials sector of the U.S. equity market.,Materials,iShares
IYR,iShares Dow Jones U.S. Real Estate Index Fund,Dow Jones U.S. Real Estate Index,The index measures the performance of the real estate industry of the U.S. equity market.,Real Estate,iShares
IYT,iShares Dow Jones Transportation Average Index Fund,Dow Jones Transportation Average Index,The index measures the performance of the transportation sector of the U.S. equity market.,Transportation Equities,iShares
IYW,iShares Dow Jones U.S. Technology Index Fund,Dow Jones U.S. Technology Index,The index measures the performance of the technology sector of the U.S. equity market.,Technology Equities,iShares
IYY,iShares Dow Jones U.S. Total Market Index Fund,Dow Jones U.S. Index,The index measures the performance of the U.S. equity broad markets.,All Cap Equities,iShares
IYZ,iShares Dow Jones U.S. Telecommunications Index Fund,Dow Jones U.S. Select Telecommunications Index,"The Index measures the performance of the Telecommunications sector of the U.S. Equity market, including fixed-line communications and wireless communications",Communications Equities,iShares
JCO,Contrarian Opportunities Index Fund,Dow Jones U.S. Contrarian Opportunities Index,The index follows a rules-based methodology to select stocks in a manner that would be considered consistent with a contrarian investment strategy. The index is an equal weighted index consisting of 125 U.S. securities.,All Cap Equities,Javelin Funds
JEM,Barclays GEMS Index ETN,Barclays Capital Global Emerging Markets Strategy (GEMS) Index,"The Barclays Capital Global Emerging Markets Strategy (GEMS) Index is based on investing in 1-month synthetic money market deposits. The Barclays Capital GEMS Index is a global index that measures the total return of the GEMS strategy applied to 15 diversified Emerging Markets currencies. The global index is formed by adding three regional sub-indices: Eastern Europe, Middle East and Africa, Latin America and Asia.",Currency,Barclays iPath
JFT,KEYnotes First Trust Enh 130/30 LgCp ETN,First Trust Enhanced 130/30 Large Cap Index,"The Index is a modified equal-weighted total return index consisting of securities that have been selected from a broad universe of the 2,500 largest U.S. exchange-listed stocks pursuant to a quantitative selection process.",Long-Short,First Trust
JJA,iPath DJ-AIG Agriculture Total Return Sub-IndexSM,Dow Jones-UBS Agriculture Subindex Total Return,The Index is currently composed of seven futures contracts on agricultural commodities traded on U.S. exchanges.,Agricultural Commodities,Barclays iPath
JJC,iPath DJ-AIG Copper Total Return Sub-IndexSM ETN,Dow Jones-UBS Copper Subindex Total Return,"The index includes the contract in the Dow Jones-UBS Commodity Index Total Return that relates to a single commodity, copper (currently the Copper High Grade futures contract traded on the COMEX).",Metals,Barclays iPath
JJE,iPath DJ-AIG Energy Total Return Sub-IndexSM ETN,Dow Jones-UBS Energy Subindex Total Return,"The Index is currently composed of four energy-related commodities contracts (crude oil, heating oil, natural gas and unleaded gasoline) traded on U.S. exchanges.",Oil & Gas,Barclays iPath
JJG,iPath DJ-AIG Grains Total Return Sub-IndexSM ETN,Dow Jones-UBS Grains Subindex Total Return,The Index is currently composed of three futures contracts on grains traded on U.S. exchanges.,Agricultural Commodities,Barclays iPath
JJM,iPath DJ-AIG Industrial Metals Total Return Sub-Index ETN,Dow Jones-UBS Industrial Metals Subindex Total Return,"The Index is currently composed of four futures contracts on industrial metals, three of which (aluminum, nickel and zinc) are traded on the London Metal Exchange and the other of which (copper) is traded on the COMEX division of the New York Mercantile Exchange.",Metals,Barclays iPath
JJN,iPath DJ-AIG Nickel Total Return Sub-IndexSM ETN,Dow Jones-UBS Nickel Subindex Total Return,The index includes the contract in the Dow Jones-UBS Commodity Index Total Return that relates to a single commodity,Metals,Barclays iPath
JJP,iPath Dow Jones-AIG Precious Metals Total Return Sub-IndexSM ETN,Dow Jones-UBS Precious Metals Subindex Total Return,The Dow Jones-UBS Precious Metals Subindex Total Return is a multiple-commodity sub-index consisting of the contracts included in the Dow Jones-UBS Commodity Index Total Return related to precious metals. Contracts for two commodities are currently included in the Dow Jones-UBS Precious Metals Subindex Total Return: gold and silver.,Precious Metals,Barclays iPath
JJS,iPath Dow Jones-AIG Softs Total Return Sub-IndexSM ETN,Dow Jones-UBS Softs Subindex Total Return,"The Dow Jones-UBS Softs Subindex Total Return is a multiple-commodity sub-index consisting of the contracts included in the Dow Jones-UBS Commodity Index Total Return related to soft products. Contracts for three commodities are currently included in the Dow Jones-UBS Softs Subindex Total Return: coffee, cotton and sugar.",Commodities,Barclays iPath
JJT,iPath Dow Jones-AIG Tin Total Return Sub-IndexSM ETN,Dow Jones-UBS Tin Subindex Total Return,The Dow Jones-UBS Tin Subindex Total Return is a single-commodity sub-index currently consisting of one futures contract on the commodity of tin.,Commodities,Barclays iPath
JJU,iPath Dow Jones-AIG Aluminum Total Return Sub-IndexSM ETN,Dow Jones-UBS Aluminum Subindex Total Return,The Dow Jones-UBS Aluminum Subindex Total Return is a single-commodity sub-index currently consisting of one futures contract on the commodity of aluminum.,Metals,Barclays iPath
JKD,iShares Morningstar Large Core Index Fund,Morningstar Large Core Index,The index measures the performance of large cap stocks that have exhibited average growth and value characteristics.,Large Cap Blend Equities,iShares
JKE,iShares Morningstar Large Growth Index Fund,Morningstar Large Growth Index,The index measures the performance of large cap stocks that have exhibited above-average growth characteristics.,Large Cap Growth Equities,iShares
JKF,iShares Morningstar Large Value Index Fund,Morningstar Large Value Index,The index measures the performance of large cap stocks that have exhibited above-average value characteristics.,Large Cap Value Equities,iShares
JKG,iShares Morningstar Mid Core Index Fund,Morningstar Mid Core Index,The index measures the performance of mid cap stocks that have exhibited average growth and value characteristics.,Mid Cap Blend Equities,iShares
JKH,iShares Morningstar Mid Growth Index Fund,Morningstar Mid Growth Index,The index measures the performance of mid cap stocks that have exhibited above-average growth characteristics.,Mid Cap Growth Equities,iShares
JKI,iShares Morningstar Mid Value Index Fund,Morningstar Mid Value Index,The index measures the performance of mid cap stocks that have exhibited above-average value characteristics.,Mid Cap Value Equities,iShares
JKJ,iShares Morningstar Small Core Index Fund,Morningstar Small Core Index,The index measures the performance of small cap stocks that have exhibited average growth and value characteristics.,Small Cap Blend Equities,iShares
JKK,iShares Morningstar Small Growth Index Fund,Morningstar Small Growth Index,The index measures the performance of small cap stocks that have exhibited above-average growth characteristics.,Small Cap Growth Equities,iShares
JKL,iShares Morningstar Small Value Index Fund,Morningstar Small Value Index,The index measures the performance of small cap stocks that have exhibited above-average value characteristics.,Small Cap Value Equities,iShares
JNK,SPDR Barclays Capital High Yield Bond ETF,Barclays Capital High Yield Very Liquid Index,"The Barclays Capital High Yield Very Liquid Index includes publicly issued U.S. dollar denominated, non-investment grade, fixed-rate, taxable corporate bonds that have a remaining maturity of at least one year, regardless of optionality, are rated high-yield (Ba1/BB+/BB+ or below) using the middle rating of Moody's, S&P, and Fitch, respectively (before July 1, 2005, the lower of Moody's and S&P was used), and have $600 million or more of outstanding face value.",High Yield Bonds,State Street
JO,iPath Dow Jones-AIG Coffee ETN,Dow Jones-UBS Coffee Subindex Total Return,The Dow Jones-UBS Coffee Subindex Total Return is a single-commodity sub-index currently consisting of one futures contract on the commodity of coffee.,Commodities,Barclays iPath
JPP,SPDR Russell/Nomura PRIME Japan ETF,Russell/Nomura PRIME Index,"The Russell/Nomura PRIME Index is made up of the 1,000 largest stocks in terms of float-adjusted market capitalization (representing approximately 96%) of the Russell/Nomura Total Market Index. It is designed to serve as a benchmark for passive investment strategies. It has broad market coverage, and takes liquidity into account.",Japan Equities,State Street
JPX,ProShares UltraShort MSCI Pacific ex-Japan,MSCI Pacific ex-Japan Index (-200%),"ProShares UltraShort MSCI Pacific ex-Japan seeks daily investment results, before fees and expenses,that correspond to twice (200%) the inverse (opposite) of the daily performance of the MSCI Pacific ex-Japan Index.",Inverse Equities,ProShares
JSC,SPDR Russell/Nomura Small Cap Japan,Russell/Nomura Japan Small Cap Index,The Russell/Nomura Japan Small Cap Index represents approximately the smallest 15% of stocks in terms of float-adjusted market capitalization of the Russell/Nomura Total Market Index.,Japan Equities,State Street
JVS,Javelin Dow Jones Islamic Market International Index Fund,Dow Jones Islamic Market International Titans 100 Index,"The index, maintained by Dow Jones, is based on a stringent and published methodology and consists solely of common stocks that meet Islamic principles. Certain businesses are incompatible with Shari'ah laws, and stocks of companies whose primary businesses are in these areas are excluded from the Index. Excluded businesses include alcohol, conventional financial services (banking, insurance, etc.), casinos and gambling, pornography, tobacco manufacturers, pork related products and weapons companies.",Foreign Large Cap Equities,Javelin Funds
JXI,iShares S&P Global Utilities Sector Index Fund,S&P Global Utilities Index,The index measures the performance of the utilities sector of the global equity market.,Utilities Equities,iShares
JYF,WisdomTree Dreyfus Japanese Yen Fund,Japanese Yen,"The U.S. dollar/Japanese yen exchange rate is a foreign exchange spot rate that measures the relative values of two currencies, the Japanese yen and the U.S. dollar.",Currency,Wisdom Tree
JYN,iPath JPY/USD Exchange Rate ETN,Japanese Yen,"The U.S. dollar/Japanese yen exchange rate is a foreign exchange spot rate that measures the relative values of two currencies, the Japanese yen and the U.S. dollar.",Currency,Barclays iPath
KBE,SPDR KBW Bank ETF,KBW Bank Index,"The KBW Bank Index is a float adjusted modified-market capitalization-weighted index that seeks to reflect the performance of publicly traded companies that do business as banks or thrifts. The Bank Index is currently comprised of common stocks of national money centers and leading regional banks or thrifts listed on the NYSE or another U.S. national securities exchange, or NASDAQ/National Market System.",Financials Equities,State Street
KCE,SPDR KBW Capital Markets ETF,KBW Capital Markets Index,"The KBW Capital Markets Index is a float-adjusted modified-market capitalization-weighted index that seeks to reflect the performance of U.S. publicly traded companies that do business as broker-dealers, asset managers, trust and custody banks or exchanges. The Capital Markets Index is currently comprised of leading companies active in the U.S. capital markets that are listed on the NYSE, or another U.S. national securities exchange, or NASDAQ/NMS.",Financials Equities,State Street
KIE,SPDR KBW Insurance ETF,KBW Insurance Index,"The KBW Insurance Index is a float adjusted modified-market capitalization-weighted index. It is currently comprised of leading companies active in the U.S. insurance industry that are listed on the NYSE, or another U.S. national securities exchange, or NASDAQ/NMS. Insurance Index components account for approximately three-quarters of the market capitalization of the entire U.S. public insurance company universe. In addition, Insurance Index components are selected to provide appropriate representation of the industry's diverse sub-sectors, including personal and commercial lines, property/casualty insurance, life insurance, reinsurance, insurance brokerage and financial guarantee.",Financials Equities,State Street
KLD,iShares KLD Select Social Index Fund,FTSE KLD Select Social Index,"The index is designed to maximize exposure to large cap stocks determined to have positive environmental, social, and governance characteristics.",Large Cap Blend Equities,iShares
KME,SPDR KBW Mortgage Finance ETF,KBW Mortgage Finance Index,The KBW Mortgage Finance Index is a float adjusted modified-market capitalization-weighted index (the constitution of the index is adjusted to reflect the publicly available stock in the market and to reflect certain proprietary capitalized weightings) that seeks to reflect the performance of the broad and diverse U.S. mortgage finance industry of publicly traded companies.,Financials Equities,State Street
KOL,Market Vectors Coal ETF,Stowe Coal Index,"The Index provides exposure to publicly traded companies worldwide that derive greater than 50% of their revenues from the coal industry. As such, the Fund is subject to the risks of investing in this sector.",Energy Equities,Van Eck
KRE,SPDR KBW Regional Banking ETF,KBW Regional Banking Index,"The KBW Regional Banking Index is an equal-weighted index that seeks to reflect the performance of publicly traded companies that do business as regional banks or thrifts. The Regional Banking Index is currently comprised of common stocks of leading regional banks or thrifts listed on the NYSE or another U.S. national securities exchange, or NASDAQ/NMS. The Regional Banking Index components are selected to provide appropriate representation of the industry's sub-sectors.",Financials Equities,State Street
KROO,IQ Australia Small Cap ETF,IQ Australia Small Cap Index,The market cap-weighted Index seeks to provide investors with a means of tracking the overall performance of small cap Australian companies.,Foreign Small & Mid Cap Equities,IndexIQ
KRS,Short KBW Regional Banking,KBW Regional Banking Index (-100%),"The KBW Regional Banking Index is an equal-weighted index that seeks to reflect the performance of publicly traded companies that do business as regional banks or thrifts. The Regional Banking Index is currently comprised of common stocks of leading regional banks or thrifts listed on the NYSE or another U.S. national securities exchange, or NASDAQ/NMS. The Regional Banking Index components are selected to provide appropriate representation of the industry's sub-sectors.",Inverse Equities,ProShares
KRU,Ultra KBW Regional Banking,KBW Regional Banking Index (200%),"The KBW Regional Banking Index is an equal-weighted index that seeks to reflect the performance of publicly traded companies that do business as regional banks or thrifts. The Regional Banking Index is currently comprised of common stocks of leading regional banks or thrifts listed on the NYSE or another U.S. national securities exchange, or NASDAQ/NMS. The Regional Banking Index components are selected to provide appropriate representation of the industry's sub-sectors.",Leveraged Equities,ProShares
KWT,Market Vectors Solar Energy ETF,Ardour Solar Energy Index,"The Index provides exposure to publicly traded companies from around the world that derive at least 66% of their revenues from solar power and related products and services. On a weighted basis, the companies in the Index derive in excess of 90% of their revenues from the solar industry.",Energy Equities,Van Eck
KXI,iShares S&P Global Consumer Staples Sector Index Fund,S&P Global Consumer Staples Index,The index measures the performance of the consumer staples sector of global equity markets.,Consumer Staples Equities,iShares
LAG,SPDR Barclays Aggregate Bond ETF,Barclays Capital U.S. Aggregate Bond Index,The index measures the performance of the U.S. investment grade bond market.,Total Bond Market,State Street
LATM,Latin America Small-Cap Index ETF,Latin America Small-Cap Index,The index tracks the performance of publicly-traded small cap companies that are headquartered in Latin America or that generate the majority of their revenues in Latin America.,Latin America Equities,Van Eck
LBJ,Direxion Daily Latin America 3x Bull Shares,S&P Latin America 40 Index (300%),"The S&P Latin America 40 Index is an equity index drawn from five major Latin American markets: Argentina, Brazil, Chile, Mexico and Peru. The index constituents are leading, large, liquid companies from the Latin American markets.",Leveraged Equities,Direxion
LD,iPath Dow Jones-AIG Lead Total Return Sub-IndexSM,Dow Jones-UBS Lead Subindex Total Return,The Dow Jones-UBS Lead Subindex Total Return is a single-commodity sub-index currently consisting of one futures contract on the commodity of lead.,Metals,Barclays iPath
LHB,Direxion Daily Latin America 3x Bear Shares,S&P Latin America 40 Index (-300%),"The S&P Latin America 40 Index is an equity index drawn from five major Latin American markets: Argentina, Brazil, Chile, Mexico and Peru. The index constituents are leading, large, liquid companies from the Latin American markets.",Leveraged Equities,Direxion
LQD,iBoxx $ Investment Grade Corporate Bond Fund,iBoxx $ Liquid Investment Grade Index,The index measures the performance of 600 highly liquid investment grade corporate bonds.,Corporate Bonds,iShares
LSC,ELEMENTS S&P CTI ETN,S&P Commodity Trends Indicator - Total Return,"The Index is designed to apply a long/short strategy to six commodity sectors comprised of 16 traditional, physical commodity futures contracts . The Index Components are grouped into six sectors and each sector, except the energy sector and softs sector, is represented on either a long or short basis.",Long-Short,ELEMENTS
LSO,ELEMENTS MLCX Livestock Total Return Index ETN,MLCX Livestock Total Return Index,The index comprises rolling futures contracts on two physical commodities: live cattle and lean hogs. The index is a total return index designed to reflect the performance of a fully collateralized investment.,Agricultural Commodities,ELEMENTS
LTL,ProShares Ultra Telecommunications ProShares,Dow Jones U.S. Select Telecommunications Index (200%),"ProShares Ultra Telecommunications seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the Dow Jones U.S. Select Telecommunications Index.",Leveraged Equities,ProShares
LTPZ,Pimco 15+ Year U.S. TIPS Index Fund,BofA Merrill Lynch 15+ Year US Inflation-Linked Treasury Index,The BofA Merrill Lynch 15+ Year US Inflation-Linked Treasury Index is an unmanaged index comprised of U.S. Treasury Inflation Protected Securities with at least $1 billion in outstanding face value and a remaining term to final maturity greater than or equal to 15 years.,Inflation-Protected Bonds,PIMCO
LVL,Claymore/BBD High Income Index ETF,S&P Global Dividend Opportunities Index,"The Index consists of 100 common stocks, master limited partnerships and American depositary receipts that offer high dividend yields chosen from a universe consisting of the stocks listed on the exchanges of those countries included in the S&P Broad Market Index. Potential Index constituents include common stocks, MLPs and ADRs with market capitalizations greater than $1.5 billion.",Global Equities,Claymore
LWC,SPDR Barclays Capital Long Term Credit Bond ETF,Barclays Capital U.S. Long Credit Index,"The Barclays Capital U.S. Long Credit Index measures the performance of the long term sector of the United States investment bond market, which as defined by the Long Credit Index includes investment grade corporate debt and sovereign, supranational, local authority and non-U.S. agency bonds that are dollar denominated and have a remaining maturity of greater than or equal to 10 years.",Corporate Bonds,State Street
MBB,iShares Barclays MBS Bond Fund,Barclays Capital U.S. MBS Index,"The index measures the performance of investment grade fixed-rate mortgage-backed pass-through securities of GNMA, FNMA, and FHLMC.",Mortgage Backed Securities,iShares
MBG,SPDR Barclays Capital Mortgage Backed Bond ETF,Barclays Capital U.S. MBS Index,"The index measures the performance of investment grade fixed-rate mortgage-backed pass-through securities of GNMA, FNMA, and FHLMC.",Mortgage Backed Securities,State Street
MCRO,IQ Hedge Macro Tracker ETF,IQ Hedge Macro Index,The Index attempts to replicate the risk-adjusted return characteristics of a combination of hedge funds pursuing a macro strategy and hedge funds pursuing an emerging markets strategy.,Hedge Fund,IndexIQ
MDD,SPDR S&P International Mid Cap ETF,S&P Developed Ex-U.S. between USD2 Billion and USD5 Billion Index,The S&P Developed Ex-U.S. between USD2 Billion and USD5 Billion Index is a float adjusted market cap weighted index that represents the mid capitalization segment of developed countries included in the S&P Global Equity Index. The Global Equity Index captures the full universe of institutionally investable stocks in developed and emerging markets with float-adjusted market capitalizations of at least $100 million.,Foreign Small & Mid Cap Equities,State Street
MDY,SPDR MidCap Trust Series I,S&P MidCap 400 Index,The index measures the performance of the mid capitalization sector of the U.S. equity market.,Mid Cap Blend Equities,State Street
MES,Market Vectors Gulf States Index ETF,Dow Jones GCC Titans 40 Index,The Index provides exposure to publicly traded companies that are headquartered in countries belonging to the Gulf Cooperation Council (GCC) or that generate the majority of their revenues in these countries.,Emerging Markets Equities,Van Eck
MGC,Vanguard Mega Cap 300 ETF,MSCI US Large Cap 300 Index,This index is a broadly diversified index of stocks of the largest U.S. companies.,Large Cap Blend Equities,Vanguard
MGK,Vanguard Mega Cap 300 Growth,MSCI US Large Cap Growth Index,The index represents the growth companies of the MSCI US Large Cap 300 Index.,Large Cap Growth Equities,Vanguard
MGV,Vanguard Mega Cap 300 Value,MSCI US Large Cap Value Index,The MSCI US Large Cap Value Index represents the value companies of the MSCI US Large Cap 300 Index.,Large Cap Value Equities,Vanguard
MINT,PIMCO Enhanced Short Maturity Strategy Fund,n/a,This ETF is not linked to a specific benchmark.,Money Market,PIMCO
MKH,HOLDRS Market 2000+,n/a,This ETF is not linked to a specific benchmark.,Large Cap Blend Equities,Merrill Lynch HOLDRs
MLN,Market Vectors-Long Municipal Index ETF,Barclays Capital AMT-Free Long Continuous Municipal Index,The Index provides broad exposure to investment-grade municipal bonds with a nominal maturity of 17 years or more.,National Munis,Van Eck
MLPI,E-TRACS Alerian MLP Infrastructure Index,Alerian MLP Infrastructure Index,The Alerian MLP Infrastructure Index is designed to give investors exposure to the infrastructure component of the Master Limited Partnership asset class. Constituents each earn at least 50% of EBITDA from assets that are not directly exposed to changes in commodity prices. The Index is disseminated by the New York Stock Exchange and is a composite of 25 energy infrastructure MLPs.,Energy Equities,UBS
MLPN,Credit Suisse Cushing 30 MLP Index ETN,Cushing 30 MLP Index,"The index is an equal weighted index that uses an objective, formula based, proprietary valuation methodology to rank the MLPs for inclusion in the index. The Cushing 30 will be calculated by S&P using the proprietary valuation methodology set out by Swank Energy Income Advisors for the Cushing 30 MLP Index and as appropriate for application to the master limited partnership investment universe and this index mandate.",Energy Equities,Credit Suisse
MNA,IQ ARB Merger Arbitrage ETF,IQ ARB Merger Arbitrage Index,The Index seeks to achieve capital appreciation by investing in global companies for which there has been a public announcement of a takeover by an acquirer. This differentiated approach is based on a passive strategy of owning certain announced takeover targets with the goal of generating returns that are representative of global merger arbitrage activity. The Index also includes short exposure to global equities as a partial equity market hedge.,Hedge Fund,IndexIQ
MOO,Market Vectors-Agribusiness ETF,DAXglobal Agribusiness Index,"The Index provides exposure to publicly traded companies worldwide that derive at least 50% of their revenues from the business of agriculture. As such, the Fund is subject to the risks of investing in this sector.",Commodity Producers Equities,Van Eck
MTK,SPDR MS Technology,Morgan Stanley Technology Index,"The Morgan Stanley Technology Index is composed purely of electronics-based technology companies. The Technology Index was the first listed broad-market technology barometer dedicated exclusively to the electronics-based technology industry. The Technology Index comprises companies drawn from the following technology sub-sectors: computer services; design software; server software, PC software and new media; networking and telecom equipment; server hardware, PC hardware and peripherals; specialized systems; and semiconductors.",Technology Equities,State Street
MUAA,iShares 2012 S&P AMT-Free Municipal Series,S&P AMT-Free Municipal Series 2012 Index,"The S&P AMT-Free Municipal Series 2012 Index measures the performance of AMT-Free, investment grade, noncallable U.S. municipal bonds maturing in 2012.",National Munis,iShares
MUAB,iShares 2013 S&P AMT-Free Municipal Series,S&P AMT-Free Municipal Series 2013 Index,"The S&P AMT-Free Municipal Series 2012 Index measures the performance of AMT-Free, investment grade, noncallable U.S. municipal bonds maturing in 2013.",National Munis,iShares
MUAC,iShares 2014 S&P AMT-Free Municipal Series,S&P AMT-Free Municipal Series 2014 Index,"The S&P AMT-Free Municipal Series 2014 Index measures the performance of AMT-Free, investment grade, noncallable U.S. municipal bonds maturing in 2014.",National Munis,iShares
MUAD,iShares 2015 S&P AMT-Free Municipal Series,S&P AMT-Free Municipal Series 2015 Index,"The S&P AMT-Free Municipal Series 2015 Index measures the performance of AMT-Free, investment grade, noncallable U.S. municipal bonds maturing in 2015.",National Munis,iShares
MUAE,iShares 2016 S&P AMT-Free Municipal Series,S&P AMT-Free Municipal Series 2016 Index,"The S&P AMT-Free Municipal Series 2016 Index measures the performance of AMT-Free, investment grade, noncallable U.S. municipal bonds maturing in 2016.",National Munis,iShares
MUAF,iShares 2017 S&P AMT-Free Municipal Series,S&P AMT-Free Municipal Series 2017 Index,"The S&P AMT-Free Municipal Series 2017 Index measures the performance of AMT-Free, investment grade, noncallable U.S. municipal bonds maturing in 2017.",National Munis,iShares
MUB,iShares S&P National Municipal Bond Fund,S&P National AMT-Free Municipal Bond Index,The index measures the performance of the investment grade segment of the U.S. municipal bond market.,National Munis,iShares
MUNI,PIMCO Intermediate Municipal Bond Strategy Fund,n/a,This ETF is not linked to a specific benchmark.,National Munis,PIMCO
MVV,ProShares Ultra MidCap400,S&P MidCap 400 Index (200%),The index measures the performance of the mid capitalization sector of the U.S. equity market.,Leveraged Equities,ProShares
MWJ,Direxion Mid Cap Bull 3X Shares,Russell Midcap Index (300%),The Russell Midcap Index measures the performance of the mid-cap segment of the U.S. equity universe. The Russell Midcap Index is a subset of the Russell1000 Index. It includes approximately 800 of the smallest securities based on a combination of their market cap and current index membership.,Leveraged Equities,Direxion
MWN,Direxion Mid Cap Bear 3X Shares,Russell Midcap Index (-300%),The Russell Midcap Index measures the performance of the mid-cap segment of the U.S. equity universe. The Russell Midcap Index is a subset of the Russell1000 Index. It includes approximately 800 of the smallest securities based on a combination of their market cap and current index membership.,Leveraged Equities,Direxion
MXI,iShares S&P Global Materials Sector Index Fund,S&P Global Materials Index,The index measures the performance of the materials sector of global equity markets.,Materials,iShares
MYY,ProShares Short MidCap400,S&P MidCap 400 Index (-100%),The index measures the performance of the mid capitalization sector of the U.S. equity market.,Inverse Equities,ProShares
MZG,Claymore/Morningstar Manufacturing Super Sector Index ETF,n/a,This ETF is not linked to a specific benchmark.,Miscellaneous Sector Equities,Claymore
MZN,Claymore/Morningstar Information Super Sector Index Fund,n/a,This ETF is not linked to a specific benchmark.,Technology Equities,Claymore
MZO,Claymore/Morningstar Services Super Sector Index ETF,n/a,This ETF is not linked to a specific benchmark.,Miscellaneous Sector Equities,Claymore
MZZ,ProShares UltraShort MidCap400,S&P MidCap 400 Index (-200%),The index measures the performance of the mid capitalization sector of the U.S. equity market.,Leveraged Equities,ProShares
NFO,Claymore/Sabrient Insider ETF,Sabrient Insider Sentiment Index,The objective of the Index is to actively represent a group of securities that are reflecting favorable corporate insider buying trends (determined via the public filings of such corporate insiders) and Wall Street analyst earnings estimate increases.,Quantitative Methodology Indexes,Claymore
NIB,iPath Dow Jones-AIG Cocoa Total Return Sub-IndexSM ETN,Dow Jones-UBS Cocoa Subindex Total Return,The Dow Jones-UBS Cocoa Subindex Total Return is a single-commodity sub-index currently consisting of one futures contract on the commodity of cocoa.,Commodities,Barclays iPath
NLR,Market Vectors-Nuclear Energy ETF,DAXglobal Nuclear Energy Index,The Index provides exposure to publicly traded companies worldwide that are engaged in various aspects of the nuclear energy business.,Energy Equities,Van Eck
NUCL,iShares S&P Global Nuclear Energy Index Fund,S&P Global Nuclear Energy Index,The index measures the performance of companies in nuclear energy related businesses.,Energy Equities,iShares
NY,iShares NYSE 100 Index Fund,NYSE U.S. 100 Index,The index measures the performance of the largest 100 companies listed on the NYSE.,Large Cap Value Equities,iShares
NYC,iShares NYSE Composite Index Fund,NYSE Composite Index,The index measures the performance of all common stocks listed on the New York Stock Exchange.,All Cap Equities,iShares
NYF,iShares S&P NY Muni,S&P New York AMT-Free Municipal Bond Index,The index measures the performance of the investment grade segment of the New York municipal bond market.,New York Munis,iShares
OEF,iShares S&P 100 Index Fund,S&P 100 Index,"The index measures the performance of stocks from a broad range of industries, chosen for market size, liquidity, and industry group representation.",Large Cap Blend Equities,iShares
OIH,HOLDRS Merrill Lynch Market Oil Service,n/a,This ETF is not linked to a specific benchmark.,Energy Equities,Merrill Lynch HOLDRs
OIL,iPath S&P GSCI Crude Oil Tot Ret Idx ETN,S&P GSCI Crude Oil Total Return Index,The index reflects the returns that are potentially available through an unleveraged investment in the West Texas Intermediate (WTI) crude oil futures contract plus the Treasury Bill rate of interest that could be earned on funds committed to the trading of the underlying contracts.,Oil & Gas,Barclays iPath
OLO,PowerShares DB Crude Oil Long ETN,Deutsche Bank Liquid Commodity Index-Oil,The index is designed to reflect the performance of certain crude oil futures contracts plus the returns from investing in 3 month United States Treasury Bills.,Oil & Gas,Invesco PowerShares
ONEF,One Fund,n/a,This ETF is not linked to a specific benchmark.,Diversified Portfolio,U.S. One
